tongxy,12331,7,1189762752,192.168.25.13|tongxy,12331,8,1189762760,192.168.25.13
baizt,12335,7,1189762760,192.168.25.14|baizt,12335,8,1189762765,192.168.25.14
guofr,12343,7,1189762765,192.168.25.18|guofr,12343,8,1189762772,192.168.25.18
moxb,12347,7,1189762775,192.168.25.15|moxb,12347,8,1189762784,192.168.25.15
baizt,12355,7,1189762781,192.168.25.14|baizt,12355,8,1189762784,192.168.25.14
baizt,12363,7,1189762790,192.168.25.14|baizt,12363,8,1189762795,192.168.25.14
guojing,12363,7,1189762800,192.168.25.10|guojing,12363,8,1189762806,192.168.25.10
huangr,12371,7,1189762808,192.168.25.11|huangr,12371,8,1189762819,192.168.25.11
luwsh,12374,7,1189762809,192.168.25.12|luwsh,12374,8,1189762812,192.168.25.12
guojing,12394,7,1189762829,192.168.25.10|guojing,12394,8,1189762836,192.168.25.10
guofr,12398,7,1189762837,192.168.25.18|guofr,12398,8,1189762846,192.168.25.18
xingbt,12403,7,1189762842,192.168.25.19|xingbt,12403,8,1189762849,192.168.25.19
moxb,12381,7,1189762814,192.168.25.15|moxb,12381,8,1189762823,192.168.25.15
baizt,12389,7,1189762820,192.168.25.14|baizt,12389,8,1189762831,192.168.25.14
